source,target,direction,origin
"Quand il arriva dans la cité, on le reçut avec faste.","Esi woɖo dua me la, woxɔe kple bubu tɔxɛ aɖe.",fra-ewe,afrolingu
Ce qui me choque ce n’est pas tant la note d’information,me nyanyanana lae wɔ nuku nam wu o,fra-ewe,afrolingu
« Tu devrais voir la tête que tu fais en ce moment,ŋkume kae nye esia nele wɔwɔm,fra-ewe,afrolingu
eya hã mekpɔ edzilawo ƒe megbedede le gɔmedzedzea me o,Elle aussi n’a pas eu le soutien de ses parents dès le départ,ewe-fra,afrolingu
amewo mã nye fotowo gblɔ alesi medze na dzesi sia xɔxɔ,"Les gens publiaient mes photos en disant à quel point ils sont fiers de moi et que je mérite cette reconnaissance,",ewe-fra,afrolingu
Il regarde derrière moi et ne voyant personne il me pose un rapide baiser sur les lèvres,"ekpɔ megbenye eye esi mekpɔ ame aɖeke o la, eɖuɖɔ nu nam kaba",fra-ewe,afrolingu
nous l'avons tous suivis dans le hangar qui lui sert de bureau.,miedze eyome yi eƒe agbadɔ si le dɔwɔƒe teƒe nɛ la gɔme,fra-ewe,afrolingu
"egbe la, kɔla si le ŋu, afi siwo wotso megaxe mɔnɛ be woa ƒoƒu amewo o","Aujourd'hui sa couleur de peau, ses origines, ne l'empêchent plus de rassembler du monde,",ewe-fra,afrolingu
"le xexeame godo la, nyɔnuwo nye adelɛ̃wo na ame vlui wo","Partout dans le monde, des femmes sont constamment la proie de dépravés sexuels",ewe-fra,afrolingu
taɖodzinu sia ŋu melɔ̃ « Une place là -haut» xexlẽ ɖo,"C'est d'ailleurs la raison pour laquelle j'ai eu envie de lire « Une place là -haut,",ewe-fra,afrolingu
"Ayant finalement compris qu’il était impossible d’avancer son rendez-vous avec le médecin, il a été pris de rage et a violemment agressé l’employée","esi wose egome be womate ŋu wɔnaneke na ye be yeakpɔ dɔyɔla la kaba o la, ekem edze aglã ɖe nyɔnua ŋu",fra-ewe,afrolingu
"les journées finissaient plus vite avec les livres,",Ŋkeke ɖabla kaba kple agbãlɛwo,fra-ewe,afrolingu
"Après avoir été désigné comme « l’homme le plus gros du monde » par le Guinness des records, il se lance alors l’immense défi de perdre la moitié de son poids, soit environ 300 kilos","Esime Guinées nuŋlɔɖemeɖigbalẽ yɔe be eyae nye ame si kpẽ wǔ le xexeame la, eɖui be yeawɔ ɖe sia ɖe abú kpekpẽmea ƒe afã esie nye kilo 300.",fra-ewe,mafand
kuɣi geɖe le lãmesẽnyawo kple hehenana ŋu vevietɔ,"""""""Il existe de nombreuses défaillances, en particulier dans les secteurs de l'éducation, l'emploi et la santé. """"""",ewe-fra,afrolingu
"Mais elle ne parlait à personne, pas même à son mari.","Gake, meƒoa nu kple amea ɖeke alo srɔ hã o.",fra-ewe,afrolingu
enye mɔnukpɔkpɔ nae be woagadzu eƒe futɔ Markle morgan,"Ce dernier ne s’est pas privé pour tacler une nouvelle fois sa meilleure ennemie à laquelle il s’oppose depuis toujours, Meghan Markle",ewe-fra,afrolingu
"""""""Pourquoi accepte-t-on sans réchigner la réécriture de la langue du blanc, mais on considere comme les douze travaux d'hercule de réécrire les notres ?""",Carpostnyadzɔdzɔgbalẽ kakɛ sia ɖe ɖase sie miateƒenɔla aɖewo gblɔ la fia,fra-ewe,afrolingu
menye nyɔnu si dzetugbui wu le sukuxɔa me o gake eyae wɔa dɔ wu ame sia ame,"Elle n’était pas la plus belle élève de la classe mais elle était sans aucun doute la plus brillante, filles et garçons confondus",ewe-fra,afrolingu
"Henri konan Bedié, dukɔtatɔ le ɣe ma ɣi","Henri Konan Bédié, alors Président de la République",ewe-fra,afrolingu
"Quand je suis arrivé au Barça, on a dit : “soyez prudent avec Leo”",Esi meva Barca la wogblɔ nam be madze aye na Leo.,fra-ewe,mafand
Ezu nyawo be Rennes ƒe agemenɔla Edouard Mendy yi Chealse kple yoro miliɔ̃ 24.,"C’est officiel : le gardien de buts rennais, Edouard Mendy, a signé à Chelsea pour 24 millions d’euros",ewe-fra,mafand
"L’opposant numéro un au Kremlin, 44 ans, a posté ces derniers jours plusieurs photos de lui, dont une en compagnie de son épouse sur un balcon de l’hôpital, où il apparaît amaigri et les yeux cernés",Tsitretila 1tɔ na Kremlin la ɖe foto geɖewo ɖe go le twitter dzi le dɔyɔƒeaxɔnu kple srɔ̃a.,fra-ewe,mafand
mezi ɖe eme nae kple aliƒoƒo kplaa hedo dzidzɔ ɣli,"Je me suis enfoncé en elle d’un seul coup de rein, en poussant un grand cri de satisfaction stupide",ewe-fra,afrolingu
"Malgré tout, souligne Voici, les téléspectateurs de TF1 peuvent se rassurer, car il n’est pas impossible que Matt Pokora soit un de ces jours de passage dans l’émission",Agbalẽa ɖe alesi xe mabɔmabɔwo nana nuwo baa ame la.,fra-ewe,mafand
Le miroir me renvoie l’image d’une femme splendide,ahuhɔe la tsɔ nyɔnu dzani aɖe ƒe foto fiam,fra-ewe,afrolingu
"Fruit de la bonne coopération entre le Togo et la Banque mondiale qui a déjà financé 2 projets à hauteur de 10 milliards de FCFA, ce laboratoire est « unique » dans la sous-région","Esia nye kutsetse le kadede nyui si le Togo kple xexeamegadzraɖoƒe dome, eya si de megbe na ɖoɖowɔwɔ bubu eve kple frã miliar 10 lae eye numekuƒe sia nye nyuitɔ wú le nutoa me.",fra-ewe,mafand
kpeɖe dekɔnuwo ŋu la subɔsubɔ vovovowo ƒe kɔkutiwo hã gale Afrika,"""""""En plus de la tradition, la religion pese lourd en Afrique cela n'arrange pas les choses. """"""",ewe-fra,afrolingu
Enu Luxomil hã gake,"On lui a fait prendre du Luxomil quand même,",ewe-fra,afrolingu
Ils ont chacun partagé ce qu’ils considèrent comme des avantages ou des inconvénients de ce monde de plus en plus digitalisé,wogblɔ nu siwoe nye viɖe kple kuxi na xexe sia si le tɔtrɔm le aɖaŋuɖenyawo sime la ta,fra-ewe,afrolingu
"Comme dans un film, je vois s’approcher cinq agents de police, les armes braquées sur mon beau gosse de l’ascenseur","abe le nɔnɔmtata me ene la, mekpɔ kpovitɔ atɔ̃ woglã tuwo ɖe nye ɖakakpui la dzi",fra-ewe,afrolingu
"eble ame, gblẽ ame ɖi, do veve sese eye wodo avu nae geɖe","Elle a trompé, abandonné, trahi et a très souvent également été abusée,",ewe-fra,afrolingu
Je pense qu’il y aura beaucoup d’innovation dans les domaines des logiciels mais pas du matériel »,Menyabe nu yeye geɖe ado le aɖaŋuɖemɔnudɔwɔnuwo me ke le eme va ge le mɔawo ŋtɔ ŋui o.,fra-ewe,mafand
"A l’occasion des 75 ans de l’ONU, les Chefs d’Etats ont chacun eu le privilège d’adresser un discours enregistré de moins de 15 minutes en raison de la pandémie",miedɔ afi ma zã eve eye ŋdi nuɖuɖu hã le fea me,fra-ewe,afrolingu
"De ce qu’on avait de tangible sous nos yeux, ma mère et moi, c’était une femme habillée de façon bien décontractée",nu si nye kple nɔnye miede dzesi koe nye be nyɔnua vo lme eɖokui me le nu si wodo la me,fra-ewe,afrolingu
"ke abe kokoko ene la, menɔte kpɔ ŋusẽdoame nu aɖe hafi","Mais comme à mon habitude, il me fallait un stimulus, une émotion, un état d’esprit",ewe-fra,afrolingu
Vos épouses sont pour vous un champ de labour,mia srɔ̃wo le nami abe agbledede ene,fra-ewe,afrolingu
"Elle travaille avec des femmes de Zomadré pour la culture du gingembre,",ele dɔ wɔm Zomadré nyɔnuwo na dotɛgble dede,fra-ewe,afrolingu
gake aleke woateŋu gblɔ nawo be eƒoa yewo naneke mawɔmawɔe,"Mais comment pourrait-elle leur expliquer qu'il les bat pour un rien,",ewe-fra,afrolingu
"Ce vendredi 21 Juin, j’ai assisté à la signature de deux conventions, l’une entre la Société Générale Côte d’Ivoire et l’association Claire Amitié International, et l’autre entre l’association et la Fondation Société Générale","Fiɖa masa 21 lia sia gbe, mekpɔ gome le asidede agbalẽte si va eme le société générale kple hatsotsoa dome kple esi va eme le fondation société générale kple hatsotsoa dome la me",fra-ewe,afrolingu
Le chanceux n’est toutefois pas à sa première victoire,Ke hã menye zi gbãtɔ wole ɖuɖum o.,fra-ewe,mafand
"Bouc fit Thioum, réféchit un moment et lui dit :","Gbɔtui wɔ tsium, bu tame vie gblɔ nae be,",fra-ewe,afrolingu
"Tu risques de payer une amende de 3000,",Ahé ga frã akpetɔ̃ ƒe fẽ,fra-ewe,afrolingu
"Dans la biographie, les deux journalistes affirment notamment que le prince Harry aurait prévenu par SMS son entourage, à savoir la reine, son père, son frère et le reste de la famille, de la grossesse de Meghan Markle","Le nya la me la, ameawo gblɔ be fiavi Harry dɔ srɔ̃a ƒe fúnya na ƒometɔwo to lɛtavi ko dzi.",fra-ewe,mafand
"Mais une chose est sûre, être un survivant ou en connaître un, flirter avec la mort ou soutenir un convalescent, est l’une des meilleures façons dont Dieu nous rappelle qu’Il est Maître de tout alors que nous ne pouvons même pas décider qu’on verra demain","le nu sia nu me la, ado le kusi alo anɔ dɔnɔ gbɔ ɖena fia be mawue ƒo ta na nu sia nu eye miaƒe agbe le esi me",fra-ewe,afrolingu
La photo n’a rien à voir avec le résultat,Kadede mele fotoa kple ŋudzedzea me o.,fra-ewe,mafand
Comment les ânes apparurent en Haïti,Alesi tedziwo va Hayiti dua me,fra-ewe,afrolingu
ame ʋɛwo dzea si wo nɔewo eye wowɔa dɔ hedoa nu alo dɔwɔƒe ɖe zdi,"Quand l’effectif est réduit, toutes les équipes se connaissent à peu près et peuvent collaborer pour fournir un produit ou service de qualité au client",ewe-fra,afrolingu
"Tout juste majeur, l’un des garçons s’est rendu au commissariat de Perpignan pour signaler les violences sexuelles que le prêtre lui a fait subir","Esi wozu tsitsime la, ɖevia yi ɖe kpɔvitɔwo gbɔ ɖa gblɔ ale si fadaa wɔa gbɔdɔnyawo ɖe eŋu lae.",fra-ewe,mafand
"En général je choisis de les ignorer ou de répondre avec humour,",edzizédzi la nye mekpɔa wogbɔ o,fra-ewe,afrolingu
Friay for Future ƒe alɔdze si le Brezil kple Stop Ecocide dometɔ ɖe sia ɖe xɔ yuro 100 000.,La branche brésilienne du mouvement Fridays for Future et la Fondation Stop Ecocide avaient notamment reçu 100 000 euros chacune,ewe-fra,mafand
nye dzitinyae le fuɖem nam,"C'est mon inconscient qui me joue des tours,",ewe-fra,afrolingu
"Depuis 2010, l’entreprise est dirigée par M",tso ƒè 2010 me la adzɔatatɔe nye aƒetɔ,fra-ewe,afrolingu
"Des moches aussi mais c'est drôle, je n'arrive pas à m'en souvenir,","gbegblewo gake esi woɖi kokoe la hã, nye megaɖo ŋu o",fra-ewe,afrolingu
"Mais le plus important est de toujours chercher à apprendre,",gake vevietɔ enye be miakpɔtɔ nɔ nusɔsrɔ̃ dzi,fra-ewe,afrolingu
"« Tout ce qui comprend des composants électriques, des lumières extérieures aux micro-ondes en passant par les caméras de vidéosurveillance, peut potentiellement avoir un impact sur votre connexion haut débit », assure Suzanne Rutherford, ingénieur en chef d’Openreach pour le pays de Galles",Nu ɖe sia ɖe si me latrikinuwo le la ate ŋu atitɔ yaʋalamɔ bɔbɔe.,fra-ewe,mafand
mele dokuinye biam be nyawoe mahã,"""Ah ! Qu'est-ce à dire ? Que c'est nous qui avons fixé l'aiguille de notre vie sur l'encart """"misérable""""€ ?""",ewe-fra,afrolingu
emegbe megblɔ na ɖokuinye be ne mete ŋu kpe akɔ nɔnɔme sia la ekme mate ŋu akpe akɔ nɔnɔme ɖe sia ɖe faa,"Plus tard, je me suis dit que si j’avais pu tenir face à cette situation, je pouvais tenir face à n’importe laquelle",ewe-fra,afrolingu
"Une fois rentrée, ma mère était quelque part dans la cour, jouant avec mon fils, et…  Pourquoi parles-tu de moi de façon si impersonnelle, coupai-je","esi mege ɖe aƒea me la, nɔnye nɔ vi blem kple vinye.... Nu ka ta nele nu ƒom tso ŋunye abe amebu ene",fra-ewe,afrolingu
"Aujourd’hui, j’ai pris part à une rencontre en ligne avec Sobel Aziz Ngom, le fondateur de la Social Change Factory, qui organise le programme Voix des Jeunes",""" egbea mekpɔ gome le takpekpe aɖe sie Sobel Aziz Ngom """"sɔhɛwo ƒe gbe """"ɖoɖo tatɔ wɔ la""",fra-ewe,afrolingu
enye fef aɖe si me adelã eve wodana naɖe wonɔewo alebe woalɔ ameaɖe si ado le fefeame,"""""""Comment étais-je supposé le savoir et aurais-je seulement obtenu une réponse si j'avais osé demander de quoi il parlait ? J'ai perdu mon portefeuille le mois denier, et il contenait un billet de 000 francs (l'étudiant que je suis se doit de le mentionner), et ma carte nationale d'identité. """"""",ewe-fra,afrolingu
Amerika nyadzɔdzɔdɔwɔlawoe ɖe esia ɖe go fia gbã.,L’information a d’abord été relayée par la presse américaine,ewe-fra,mafand
"KAGNAOU Essodina tso CEG CAMP LANDJA dze eyome kple 20,29 eye eyahã tso Kara nutomea ke.","Il est suivi de KAGNAOU Essodina du CEG CAMP LANDJA avec 20,29 également issu de la région de la Kara",ewe-fra,mafand
Les appels à la décision de la chambre du 26 novembre 2019 n’appuient pas la prétention de «précédent» que fait l’avocat de M,Wobe ʋɔnua ƒe nya si wogblɔ le adeɛmekpɔxe 26 lia 2019 me la mena mɔnukpɔkpɔ sia woe o.,fra-ewe,mafand
Nous avons établi une doctrine d’emploi,Dɔwɔɖoɖo le mia si.,fra-ewe,mafand
Agɔdzelae nye Nudrã.,"En vérité, Malice était le coupable.",ewe-fra,afrolingu
ƒoƒose hatsotso enyenuɖoanyi xoxotɔ le ɣetoɖoƒe Afrika,Le Conseil de l'Entente est la plus vieille des organisations ouest-africaines.,ewe-fra,afrolingu
nye afɔ kpe enumake eye nye afɔzĩ le ɖiɖim sesie le mɔadzi eye gbewo gɔ̃ hã le ɣli domɖe tanye,"Mes pas devinrent lourds tout à coup, le bruit de mes chaussures contre le pavé se fait assourdissant, et même le sifflement du vent dans les branchages semble me huer",ewe-fra,afrolingu
Ta wo ɖaseɖigbamlẽ kple dɔwɔɖaseɖigbalẽ ɖeka.,– une copie des diplômes et attestations de travail,ewe-fra,mafand
mele lɔlɔ̃nudɔwɔlawo dim eye abdul gblɔe na U-report Yopougon tatɔ si tsɔ amewo ŋkɔ nam,"Je cherchais des bénévoles, Abdul en a parlé au responsable U-report de Yopougon et ce dernier a donné une liste de personnes intéressées",ewe-fra,afrolingu
"Mais, regarde, mon roi.","Gake, kpɔɖa fia bubutɔ.",fra-ewe,afrolingu
mɔslɛmnyɔnu ɖe sia ɖe kple eƒe ŋutinya eye esi medze to ɖo wo lae megakpɔ esia wú,Chaque femme voilée a une histoire particulière avec son hijab et je m’en rends compte encore plus en écoutant toutes ces femmes,ewe-fra,afrolingu
"Pour soi, mais aussi pour ceux qui peuvent en avoir besoin",amewo atsɔ nane le eme,fra-ewe,afrolingu
"Pour redonner un peu d’intimité à nos intérieurs, et psychologiquement recréer une barrière entre le privé et le professionnel, Zoom comme tous les autres services d’appel vidéo, misent désormais sur l’arrière-plan modifiable des fenêtres de conversation","ne woana nyonyo miaƒe xɔwome la, Zoom abe videoyɔyɔwɔnuwo ke ene tsɔ megbedomenu da ɖe mia ŋku me",fra-ewe,afrolingu
afima mexɔ nye titina suku ɖoƒe gbãtɔ ɖaseɖi gbãlɛ eye meyi nye suku kɔkɔ ƒe eve gbãtɔwo le,"J'y ai obtenu mon BEPC puis passé mes deux premières années d'université,",ewe-fra,afrolingu
"De ce fait, il pourrait tout bonnement s’agir d’un détournement",Esia dze abe gafifi ko ene.,fra-ewe,mafand
sɔleme ƒuƒoƒe gbãtɔwo hã megale ɖeke tsɔm le eme,"""""""On connaît la position des sociétés orientales vis-à-vis de leurs femmes, mais rejettent t'elles pour autant leur culture ?""",ewe-fra,afrolingu
Elles sont prescrites par un gynécologue).,amewɔnuɖɔkitae ŋlɔ atikeawo,fra-ewe,afrolingu
"Un matin, les deux compères se rencontrèrent, dans la forêt, sous un acacia.",Wo ame evea wodo go ŋdi aɖe me le adidoti aɖe te le avea me.,fra-ewe,afrolingu
"Nyaga tsɔ tre si anyitsi yɔ la nae kple nya ɣaɣla aɖe, alẽ yi azɔlia dzi.",La vieille femme donna à la brebis une petite calebasse pleine de miel et lui confa un secret. La brebis poursuivit son chemin.,ewe-fra,afrolingu
ŋdi sia mese imam suleiman nufiafia kuɖe ale sie mialɔ̃ mianɔvi mɔslɛmtɔ anɔ odim kpɔ nenye be wodze dɔe la,"Ce matin, j’ai écouté des enseignements de l’imam Omar Suleiman sur l’importance d’aimer son frère en Allah, de lui rendre visite quand il est malade ou juste pour la cause d’Allah",ewe-fra,afrolingu
Blamed on optical fiber outage from their partner.,woƒe asisinɔ la tsɔ nya ɖe wo ŋu le yaʋala fe kuɣi la ŋu,fra-ewe,afrolingu
vevidonula elabe amea ate ŋu aɖe asi le mia ŋu miayi ŋgɔ kple nuyɔyɔ manɔeteƒe elaena mienye arabgbegblɔlawo o,Rigoureux parce qu’il y a le risque d’avoir quelqu’un qui va nous laisser avancer avec certaines erreurs compte tenu de la difficulté de la prononciation de certaines lettres pour un non-arabe,ewe-fra,afrolingu
Je devais reprendre ce matin,madze dɔ dzi ŋdi sia hafi,fra-ewe,afrolingu
etsi eƒe kaƒomɔa teti ko wogaɖze ɖiɖi,*A peine avait-elle raccroché que son téléphone sonna à nouveau,ewe-fra,afrolingu
medze dɔ wɔla o,"Apparemment, il n’a pas la tête de l’emploi",ewe-fra,afrolingu
"Bẽta si tsaka la, wɔ blewu teɖe eŋu: klo sue aɖee nɔ ha dzim henɔ asi tem ɖe yeƒe saŋku ƒe kawo dzi.","Intrigué, Banta s’approche prudemment : c’est une toute petite tortue qui chante en pinçant avec allégresse les cordes de son instrument.",ewe-fra,afrolingu
miakpɔ nu sie le dzɔdzɔm lae nya sia wogblɔ na nyakakadɔwɔla aɖe si bkiae be ne na gbe be neyege la yatsɔ zikpuia na bɔbɔe lae,"“Il va falloir que nous voyions ce qui se passe”, a déclaré Donald Trump lors d’une conférence de presse à la Maison Blanche, interrogé par un journaliste qui lui demandait de prendre l’engagement d’assurer un transfert sans violence du pouvoir quel que soit le résultat de l’élection qui l’oppose au démocrate Joe Biden",ewe-fra,afrolingu
ehiã nyɔnu aɖe si le dɔme la ƒe foto atsɔ ɖe egɔme esi wònye be ɖeke mele asiwò o ta la,"""""""Parce que, dans ton cas par exemple, tu as eu besoin d'une photo de femme au travail, et si tu n'as pas ta propre photo tu illustreras ton contenu avec une de ces photos là. """"""",ewe-fra,afrolingu
woayi ɖe kadedeme dzi kple dukɔawo to numama tso nyaleɖiawo ŋu,"""et-Afamba, Gilbert Tsimi Evouna, délégué du gouvernement aupres de la Communauté urbaine de Yaoundé. """"""",ewe-fra,afrolingu
"Je ne t’en blâme point, parce que tu n’agis qu’en fonction des informations que tu as",nyemebu fɔ̃ wo o elabe nya siwo nenya koe netsɔ le dɔ wɔm,fra-ewe,afrolingu
enyalawo nyae. Mede atsi ŋkeke bliobo lae eye tsi ko meno le nututu me,Les connaisseurs connaissent…J’ai fait une indigestion toute la journée et je n’ai bu que de l’eau à l’heure de la rupture,ewe-fra,afrolingu
eɖo aɖaŋuɖemɔ ƒe kpekpeɖeŋu le africa nyɔnuwo ƒe ŋukeke dzi eye woɖe nɔnɔme vovo siwo le africa nyɔnu ma si fia,"Elle a mis en place la contribution digitale à la Journée Internationale de la Femme Africaine, pour montrer les multiples visages de cette femme africaine,",ewe-fra,afrolingu
Dyna va tsɔ “Mille soleils splendides” ewo tso france ɖoɖem,"Plus tard, l’adorable Dyna m’a fait parvenir une dizaine d’exemplaires de “Mille soleils splendides” de France",ewe-fra,afrolingu
Les Qurayshites avaient au préalable trahi le traité d’Al-Hudaybiyya en participant à une attaque envers une tribu alliée aux musulmans,makatɔwo gble ƒoƒose la esime wowɔ aʋa kple du aɖe sie ɖe adzɔgbe na mɔslɛmtɔwo la mee,fra-ewe,afrolingu
megatɔ́ te kpɔm ɣetrɔ sia o elabe medibe manɔ xɔ̃nyewo gbɔ vie fiɛ̃ sia,"Ne m’attends pas ce soir, mon amour, parce que j’ai bien envie de traîner dehors avec mes amis",ewe-fra,afrolingu
Mais pratiquement tous à la même table,ke hã mienɔ kplɔ̃ ɖeka ŋu,fra-ewe,afrolingu
Aƒenɔ Macron do bubu ŋunye esi wokpem be mava ɖu nu kpli yewoe.,“Madame Macron m’a fait le bonheur de m’inviter à déjeuner il y a quelques jours,ewe-fra,mafand
"""Alors oui, beaucoup se plaignent mais je dirai cyniquement qu'ils se plaignent juste parce qu'ils ne mangent pas. """"""",ele me bne ame geɖwolekonyidam gake magblɔ tamesẽtɔe be dɔwuame tae wolekonyi siawo fam ɖo,fra-ewe,afrolingu
"""J'ai été choquée de le voir demander la permission de sortir pour aller à un mariage et ramasser un billet de dix mille francs que lui a jeté son épouse par terre parce qu'elle """"en avait marre de dépenser autant pour nourrir des gens""""""",dɔdasi wonye be womawɔe abe dzena na wo ene o,fra-ewe,afrolingu
biabia si va edziédzi le esime mezu moslem tɔ la enye «ɖe ɖekakpuiviaɖe tae»,"Quand je me suis convertie à l'Islam, la question qui revenait souvent était « c'est à cause d'un garçon,",ewe-fra,afrolingu
"Mais moi, à aucun moment, on ne m’a demandé de mentir sur ce qu’était la situation des masques",Ke ame aɖeke mebia tso asinye be maɖa adze ku ɖe mɔtsyɔ̃nuwo gbã ŋu o.,fra-ewe,mafand
Wobe yewo kpɔ gakponu kpekpẽwo kple chloroquine le nua me .,Il est également remarqué la présence de métaux lourds et de chloroquine dans ce remède malgache,ewe-fra,mafand
Wole agbadɔwo kple dzikpɔƒe =xɔwo tum.,"Y sont construits, des hangars, des blocs administratifs, un hall entre autres",ewe-fra,mafand
mieŋlɔa dɔlele siwo me miedo dzesii le be nukunu wonye be miegale gbɔgbɔm la,On oublie ces moments de maladie pendant lesquels on se rendait pourtant compte du miracle de pouvoir respirer sans peine,ewe-fra,afrolingu
"""J'ai observé les comportements sur les réseaux sociaux et j'ai participé à de nombreuses discussions dans le """"monde réel""""""",nyatakaka dzɔtsoƒewo ateŋu anye dzeɖoɖo le hanoƒewo kple lɔriwo me,fra-ewe,afrolingu
"Togo : l’importance des images chez l’enfant expliquée par un spécialistePrise d’un accès de rage suite à sa convocation, elle assène un coup de bâton sur la tête de l’enfant","Togo: eŋununyala aɖe ɖe nɔnɔmetata ƒe vevenyenye le ɖeviwo gbɔ la gɔme. Esi dɔme ve nyɔnua le yɔyɔ sia ta la, eƒo kpo ta na via",fra-ewe,afrolingu
nufialawo li hena kpekpeɖeŋunana sukuviawo,Les enseignants sont là ou devraient être là pour accompagner les étudiants dans leur processus d’apprentissage,ewe-fra,afrolingu
"""""""Au moment d'embarquer, les passeurs ont refusé de monter dans le bateau parce qu'ils risquent une peine de ans de prison si ils sont pris. """"""",esime wole be míadzo la amekulawo gblẽmí ɖi elabe wole vɔvɔ̃m be se la aheto na yewo,fra-ewe,afrolingu
Je suis arrivée à la gare UTB de Yopougon aux environs de 6h30,meva ɖo UTB ʋuɖoƒea ŋdi ga adẽ kple afã lɔƒo,fra-ewe,afrolingu
Revenons à la question de BlogDev.,míɖo BlogDev ƒe biabia ŋu,fra-ewe,afrolingu
"ke, woga ƒo ʋɔ̃a ke",Alors…    On toqua de nouveau à la porte…,ewe-fra,afrolingu
"Encore une fois, je ne suis pas une experte en réseaux sociaux et j’ai encore beaucoup de choses à améliorer moi-même",minyae zi ɖeka ke be menye enyalagã menye kuɖe hahonuŋlɔƒewo ŋu eye be nye ŋutɔ mehiã ɖɔɖɔɖo geɖe,fra-ewe,afrolingu
"€ Je le relis en ce moment pour la Crêpes Party qu'on fera au Centre Eulis le samedi 24 Mars in shaa Allah,","megale xlem na Crêpe party si wɔ ge miele le Centre Eulis memléɖa, Tedoxe 24 lia ne dzro Mawu",fra-ewe,afrolingu
